,data_hora
1752,2023-03-15 00
1753,2023-03-15 01
1754,2023-03-15 02
1755,2023-03-15 03
1756,2023-03-15 04
1757,2023-03-15 05
1758,2023-03-15 06
1759,2023-03-15 07
1760,2023-03-15 08
1761,2023-03-15 09
1762,2023-03-15 10
1763,2023-03-15 11
1764,2023-03-15 12
1765,2023-03-15 13
1766,2023-03-15 14
1767,2023-03-15 15
1768,2023-03-15 16
1769,2023-03-15 17
1770,2023-03-15 18
1771,2023-03-15 19
1772,2023-03-15 20
1773,2023-03-15 21
1774,2023-03-15 22
1775,2023-03-15 23
1776,2023-03-16 00
1777,2023-03-16 01
1778,2023-03-16 02
1779,2023-03-16 03
1780,2023-03-16 04
1781,2023-03-16 05
1782,2023-03-16 06
1783,2023-03-16 07
1784,2023-03-16 08
1785,2023-03-16 09
1786,2023-03-16 10
1787,2023-03-16 11
1788,2023-03-16 12
1789,2023-03-16 13
1790,2023-03-16 14
1791,2023-03-16 15
1792,2023-03-16 16
1793,2023-03-16 17
1794,2023-03-16 18
1795,2023-03-16 19
1796,2023-03-16 20
1797,2023-03-16 21
1798,2023-03-16 22
1799,2023-03-16 23
1800,2023-03-17 00
1801,2023-03-17 01
1802,2023-03-17 02
1803,2023-03-17 03
1804,2023-03-17 04
1805,2023-03-17 05
1806,2023-03-17 06
1807,2023-03-17 07
1808,2023-03-17 08
1809,2023-03-17 09
1810,2023-03-17 10
1811,2023-03-17 11
1812,2023-03-17 12
1813,2023-03-17 13
1814,2023-03-17 14
1815,2023-03-17 15
1816,2023-03-17 16
1817,2023-03-17 17
1818,2023-03-17 18
1819,2023-03-17 19
1820,2023-03-17 20
1821,2023-03-17 21
1822,2023-03-17 22
1823,2023-03-17 23
1824,2023-03-18 00
1825,2023-03-18 01
1826,2023-03-18 02
1827,2023-03-18 03
1828,2023-03-18 04
1829,2023-03-18 05
1830,2023-03-18 06
1831,2023-03-18 07
1832,2023-03-18 08
1833,2023-03-18 09
1834,2023-03-18 10
1835,2023-03-18 11
1836,2023-03-18 12
1837,2023-03-18 13
1838,2023-03-18 14
1839,2023-03-18 15
1840,2023-03-18 16
1841,2023-03-18 17
1842,2023-03-18 18
1843,2023-03-18 19
1844,2023-03-18 20
1845,2023-03-18 21
1846,2023-03-18 22
1847,2023-03-18 23
1848,2023-03-19 00
1849,2023-03-19 01
1850,2023-03-19 02
1851,2023-03-19 03
1852,2023-03-19 04
1853,2023-03-19 05
1854,2023-03-19 06
1855,2023-03-19 07
1856,2023-03-19 08
1857,2023-03-19 09
1858,2023-03-19 10
1859,2023-03-19 11
1860,2023-03-19 12
1861,2023-03-19 13
1862,2023-03-19 14
1863,2023-03-19 15
1864,2023-03-19 16
1865,2023-03-19 17
1866,2023-03-19 18
1867,2023-03-19 19
1868,2023-03-19 20
1869,2023-03-19 21
1870,2023-03-19 22
1871,2023-03-19 23
1872,2023-03-20 00
1873,2023-03-20 01
1874,2023-03-20 02
1875,2023-03-20 03
1876,2023-03-20 04
1877,2023-03-20 05
1878,2023-03-20 06
1879,2023-03-20 07
1880,2023-03-20 08
1881,2023-03-20 09
1882,2023-03-20 10
1883,2023-03-20 11
1884,2023-03-20 12
1885,2023-03-20 13
1886,2023-03-20 14
1887,2023-03-20 15
1888,2023-03-20 16
1889,2023-03-20 17
1890,2023-03-20 18
1891,2023-03-20 19
1892,2023-03-20 20
1893,2023-03-20 21
1894,2023-03-20 22
1895,2023-03-20 23
1896,2023-03-21 00
1897,2023-03-21 01
1898,2023-03-21 02
1899,2023-03-21 03
1900,2023-03-21 04
1901,2023-03-21 05
1902,2023-03-21 06
1903,2023-03-21 07
1904,2023-03-21 08
1905,2023-03-21 09
1906,2023-03-21 10
1907,2023-03-21 11
1908,2023-03-21 12
1909,2023-03-21 13
1910,2023-03-21 14
